{'money Amount': 'monthli_'}                           
2000                          ,500                           ,100                           ,fun                           ,30                            ,5000                          ,car                           
2000                          ,500                           ,100                           ,train                         ,30                            ,50000                         ,car                           
2000                          ,500                           ,100                           ,fu                            ,30                            ,20000                         ,                              
2000                          ,500                           ,100                           ,jj                            ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,eee                           ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,fun                           ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,ggg                           ,30                            ,5000                          ,                              
11111                         ,1                             ,111                           ,11                            ,11                            ,111                           ,                              
2000                          ,500                           ,100                           ,ggg                           ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,hhh                           ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,gg                            ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,dd                            ,30                            ,50000                         ,                              
2000                          ,500                           ,100                           ,ggg                           ,30                            ,5000                          ,                              
2000                          ,500                           ,50                            ,dd                            ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,fff                           ,30                            ,5000                          ,                              
2000                          ,500                           ,100                           ,fff                           ,30                            ,5000                          ,                              
200                           ,sss                           ,ss                            ,ss                            ,ss                            ,ss                            ,ss                            
2000                          ,500                           ,30                            ,dd                            ,30                            ,5000                          ,                                                     ,                              
1600                          ,10000                         ,300                           ,ddd                           ,30                            ,100000                        ,                              
33                            ,3333                          ,33                            ,33                            ,333                           ,33                            ,3                             
2000                          ,500                           ,300                           ,internet                      ,30                            ,5000                          ,                              
2000                          ,500                           ,300                           ,intrente                      ,30                            ,5000                          ,                              
2000                          ,1000                          ,500                           ,internet                      ,30                            ,50000                         ,                              
111111                        ,1111                          ,1111                          ,11                            ,11                            ,111111                        ,                              
2000                          ,500                           ,300                           ,fff                           ,30                            ,5000                          ,                              
cccc                          ,                              ,                              ,                              ,                              ,                              ,                              
2000                          ,500                           ,300                           ,dd                            ,30                            ,10000                         ,                              
